cnf_name,solver,result,solving_time_sec,inference_time_sec,has_backbone,n_vars,n_clauses
5_68_1407.cnf.xz,Default,"SATISFIABLE,5",4.742200613021851,,,68,1407
5_69_1362.cnf.xz,Default,"SATISFIABLE,2",1.5082051753997803,,,69,1362
5_69_1369.cnf.xz,Default,"SATISFIABLE,0",0.2504739761352539,,,69,1369
5_70_1389.cnf.xz,Default,"SATISFIABLE,3",3.4855778217315674,,,70,1389
5_73_1525.cnf.xz,Default,"SATISFIABLE,3",2.651121139526367,,,73,1525
9d8decd79c077b42c2cc32c0c701c0b6-fla-komb-360-1.cnf.xz,Default,"SATISFIABLE,0",0.01542210578918457,,,360,1874
BMS_k3_n100_m429_180.cnf.xz,Default,"SATISFIABLE,0",0.012473821640014648,,,100,296
BMS_k3_n100_m429_201.cnf.xz,Default,"SATISFIABLE,0",0.0025107860565185547,,,100,284
BMS_k3_n100_m429_220.cnf.xz,Default,"SATISFIABLE,0",0.013425111770629883,,,100,287
BMS_k3_n100_m429_256.cnf.xz,Default,"SATISFIABLE,0",0.00398707389831543,,,100,284
BMS_k3_n100_m429_276.cnf.xz,Default,"SATISFIABLE,0",0.005432844161987305,,,100,302
BMS_k3_n100_m429_278.cnf.xz,Default,"SATISFIABLE,0",0.0023741722106933594,,,100,295
BMS_k3_n100_m429_284.cnf.xz,Default,"SATISFIABLE,0",0.006594181060791016,,,100,279
BMS_k3_n100_m429_36.cnf.xz,Default,"SATISFIABLE,0",0.004125833511352539,,,100,289
BMS_k3_n100_m429_376.cnf.xz,Default,"SATISFIABLE,0",0.005094766616821289,,,100,294
BMS_k3_n100_m429_439.cnf.xz,Default,"SATISFIABLE,0",0.0024628639221191406,,,100,295
BinaryCliqueFormula_22_4_3.cnf.xz,Default,"SATISFIABLE,0",0.004438877105712891,,,15,1203
CBS_k3_n100_m403_b10_135.cnf.xz,Default,"SATISFIABLE,0",0.0038862228393554688,,,100,403
CBS_k3_n100_m403_b10_179.cnf.xz,Default,"SATISFIABLE,0",0.0022230148315429688,,,100,403
CBS_k3_n100_m403_b10_210.cnf.xz,Default,"SATISFIABLE,0",0.004374980926513672,,,100,403
CBS_k3_n100_m403_b10_3.cnf.xz,Default,"SATISFIABLE,0",0.003206968307495117,,,100,403
CBS_k3_n100_m403_b10_331.cnf.xz,Default,"SATISFIABLE,0",0.0032351016998291016,,,100,403
CBS_k3_n100_m403_b10_332.cnf.xz,Default,"SATISFIABLE,0",0.0056209564208984375,,,100,403
CBS_k3_n100_m403_b10_347.cnf.xz,Default,"SATISFIABLE,0",0.004202842712402344,,,100,403
CBS_k3_n100_m403_b10_422.cnf.xz,Default,"SATISFIABLE,0",0.0027341842651367188,,,100,403
CBS_k3_n100_m403_b10_555.cnf.xz,Default,"SATISFIABLE,0",0.003748178482055664,,,100,403
CBS_k3_n100_m403_b10_59.cnf.xz,Default,"SATISFIABLE,0",0.004625797271728516,,,100,403
CBS_k3_n100_m403_b10_622.cnf.xz,Default,"SATISFIABLE,0",0.0037250518798828125,,,100,403
CBS_k3_n100_m403_b10_67.cnf.xz,Default,"SATISFIABLE,0",0.003175020217895508,,,100,403
CBS_k3_n100_m403_b10_672.cnf.xz,Default,"SATISFIABLE,0",0.003410816192626953,,,100,403
CBS_k3_n100_m403_b10_674.cnf.xz,Default,"SATISFIABLE,0",0.002384185791015625,,,100,403
CBS_k3_n100_m403_b10_685.cnf.xz,Default,"SATISFIABLE,0",0.003458738327026367,,,100,403
CBS_k3_n100_m403_b10_722.cnf.xz,Default,"SATISFIABLE,0",0.0030870437622070312,,,100,403
CBS_k3_n100_m403_b10_871.cnf.xz,Default,"SATISFIABLE,0",0.0039539337158203125,,,100,403
CBS_k3_n100_m403_b10_896.cnf.xz,Default,"SATISFIABLE,0",0.004425048828125,,,100,403
CBS_k3_n100_m403_b10_906.cnf.xz,Default,"SATISFIABLE,0",0.0025877952575683594,,,100,403
CBS_k3_n100_m403_b10_913.cnf.xz,Default,"SATISFIABLE,0",0.002496004104614258,,,100,403
CBS_k3_n100_m403_b10_953.cnf.xz,Default,"SATISFIABLE,0",0.004057168960571289,,,100,403
CBS_k3_n100_m403_b10_992.cnf.xz,Default,"SATISFIABLE,0",0.002544879913330078,,,100,403
CBS_k3_n100_m403_b30_151.cnf.xz,Default,"SATISFIABLE,0",0.0039522647857666016,,,100,403
CBS_k3_n100_m403_b30_224.cnf.xz,Default,"SATISFIABLE,0",0.002844095230102539,,,100,403
